2020-01-31 ;N/A ;;;;;1;;;;;;;;;;;;;;;1;1;– ;– ;N/A ;;;[337] 
2020-02-09 ;N/A ;;;;1;;;;;;;;;;;;;;;;1;2;– ;– ;N/A ;;;
2020-02-24 ;N/A ;;;;;4;;;;;;;;;;;;;;;4;6;– ;– ;N/A ;;;
2020-02-25 ;N/A ;;;;;;;;1;1;;;;;2;;;;;;4;10;– ;– ;N/A ;;;
2020-02-27 ;13:00 ;1;;;;1;;;-1;1;;2;;;2;;;;;;6;16;– ;– ;N/A ;;;[338] 
2020-02-28 ;13:00 ;5;1;;;;;;2;1;;6;;;1;;;;;;16;32;– ;– ;N/A ;;;[339] 
2020-03-02 ;13:00 ;;;;;;;;;;;;;;;;;;;;;114;– ;– ;N/A ;;;
2020-03-03 ;13:00 ;1;;;;;;4;5;;;;;;20;;;;4;2;36;150;– ;– ;N/A ;;;[341] 
2020-03-04 ;13:00 ;;;1;3;;;5;3;;;4;;1;21;;;2;4;4;48;198;1;1;7;1;;[342] 
2020-03-05 ;13:00 ;-1;1;3;1;1;;1;;9;;;;;20;;;;;4;39;237;2;3;9;3;;[343] 
2020-03-06 ;13:00 ;9;5;;;3;;2;3;;;11;;2;47;;;;28;18;128;365;2;5;11;10;;[344] 
2020-03-09 ;13:00 ;;;;;;;;;;;;;;;;;;;;;999;;16;68;32;;
2020-03-10 ;13:00 ;17;25;15;2;3;;13;33;49;;13;1;16;313;;5;9;46;63;623;1622;19;35;100;35;;[346] 
2020-03-11 ;13:00 ;19;7;10;3;12;;32;15;32;;15;1;17;242;;2;34;30;35;506;2128;12;47;142;138;;[347] 
2020-03-12 ;13:00 ;25;19;15;6;14;4;44;21;104;;11;10;-4;364;;15;27;121;26;822;2950;37;84;190;189;;[348] 
2020-03-13 ;13:00 ;104;16;20;8;19;13;79;77;56;;18;20;50;602;2;9;57;71;38;1259;4209;36;120;272;193;;[349] 
2020-03-14 ;11:30 ;50;0;25;-2;20;2;95;54;193;;36;27;30;950;1;12;16;;35;1544;5753;16;136;293;517;;[350] 
2020-03-15 ;11:30 ;168;67;45;0;19;20;112;69;206;1;279;29;80;604;5;24;37;213;22;2000;7753;152;288;382;517;;[351] 
2020-03-16 ;13:00 ;117;27;40;45;10;7;166;42;188;0;0;16;50;625;0;6;91;0;12;1438;9191;101;389;432;530;;[352] 
2020-03-17 ;21:00 ;176;19;49;20;33;10;108;237;472;0;185;41;49;766;3;25;73;208;64;2538;13716;107;678;774;1081;;[354] 
2020-03-18 ;21:00 ;149;55;50;57;39;15;126;200;836;0;196;47;112;1140;3;45;96;217;49;3431;17147;169;847;939;1107;;[355] 
2020-03-19 ;21:00 ;279;79;52;34;67;61;243;279;568;4;184;56;125;388;1;37;72;275;29;2833;19980;235;1082;1141;1585;;[356] 
2020-03-20 ;21:00 ;228;64;142;43;61;71;379;319;933;0;258;57;161;1756;1;36;110;260;67;4946;24926;324;1406;1612;2125;;[357] 
2020-03-21 ;21:00 ;210;108;59;85;66;67;396;278;501;0;241;30;176;781;0;56;130;372;90;3646;28572;394;1800;1785;2575;;[358] 
2020-03-22 ;21:00 ;236;106;49;69;67;65;259;311;1221;1;297;109;293;873;3;49;92;324;93;4517;33089;462;2262;2355;3355;;[359] 
2020-03-23 ;21:00 ;510;120;68;78;76;78;387;405;1939;0;266;143;207;1777;0;40;128;307;55;6584;39673;514;2776;2636;3794;;[336] 
2020-03-24 ;21:00 ;539;149;117;84;100;85;315;480;2073;3;449;106;238;2245;10;92;183;543;126;7937;47610;658;3434;3166;5367;;[335]
